base_name,window,consecutive,total,normal
LAB11068R,30,0,315,248
LAB11068R,30,1,16,15
LAB11068R,30,2,1,1
LAB11068R,30,3,1,1
LAB11068R,90,0,315,248
LAB11068R,90,1,16,15
LAB11068R,90,2,1,1
LAB11068R,90,3,1,1
LAB11069R,1,0,257,89
LAB11069R,1,1,3,2
LAB11069R,2,0,252,85
LAB11069R,2,1,7,5
LAB11069R,2,2,1,1
LAB11069R,4,0,251,85
LAB11069R,4,1,7,4
LAB11069R,4,2,2,2
LAB11069R,7,0,251,85
LAB11069R,7,1,7,4
LAB11069R,7,2,2,2
LAB11069R,30,0,250,84
LAB11069R,30,1,8,5
LAB11069R,30,2,2,2
LAB11069R,90,0,248,84
LAB11069R,90,1,10,5
LAB11069R,90,2,2,2
LAB11070R,1,0,177,161
LAB11070R,1,1,5,4
LAB11070R,2,0,173,159
LAB11070R,2,1,9,6
LAB11070R,4,0,167,154
LAB11070R,4,1,15,11
LAB11070R,7,0,163,151
LAB11070R,7,1,18,13
LAB11070R,7,2,1,1
LAB11070R,30,0,163,151
LAB11070R,30,1,18,13
LAB11070R,30,2,1,1
LAB11070R,90,0,163,151
LAB11070R,90,1,18,13
LAB11070R,90,2,1,1
LAB11071R,1,0,417,378
LAB11071R,1,1,10,10
LAB11071R,2,0,410,372
LAB11071R,2,1,17,16
LAB11071R,4,0,408,371
LAB11071R,4,1,18,16
LAB11071R,4,2,1,1
LAB11071R,7,0,406,369
LAB11071R,7,1,19,17
LAB11071R,7,2,2,2
LAB11071R,30,0,405,368
LAB11071R,30,1,20,18
LAB11071R,30,2,2,2
LAB11071R,90,0,405,368
LAB11071R,90,1,20,18
LAB11071R,90,2,2,2
LAB11072R,1,0,5,4
LAB11072R,2,0,5,4
LAB11072R,4,0,5,4
LAB11072R,7,0,5,4
LAB11072R,30,0,5,4
LAB11072R,90,0,5,4
LAB11074R,1,0,4,3
LAB11074R,2,0,4,3
LAB11074R,4,0,4,3
LAB11074R,7,0,4,3
LAB11074R,30,0,4,3
LAB11074R,90,0,4,3
LAB11077R,1,0,65,61
LAB11077R,1,1,2,2
LAB11077R,2,0,62,58
LAB11077R,2,1,5,5
LAB11077R,4,0,60,56
LAB11077R,4,1,6,6
LAB11077R,4,2,1,1
LAB11077R,7,0,60,56
LAB11077R,7,1,6,6
LAB11077R,7,2,1,1
LAB11077R,30,0,60,56
LAB11077R,30,1,6,6
LAB11077R,30,2,1,1
LAB11077R,90,0,60,56
LAB11077R,90,1,6,6
LAB11077R,90,2,1,1
LAB11078R,1,0,9,8
LAB11078R,2,0,9,8
LAB11078R,4,0,8,7
LAB11078R,4,1,1,1
LAB11078R,7,0,8,7
LAB11078R,7,1,1,1
LAB11078R,30,0,8,7
LAB11078R,30,1,1,1
LAB11078R,90,0,8,7
LAB11078R,90,1,1,1
LAB11079R,1,0,58,38
LAB11079R,2,0,58,38
LAB11079R,4,0,58,38
LAB11079R,7,0,58,38
LAB11079R,30,0,58,38
LAB11079R,90,0,58,38
LAB11080R,1,0,22,18
LAB11080R,2,0,21,17
LAB11080R,2,1,1,1
LAB11080R,4,0,21,17
LAB11080R,4,1,1,1
LAB11080R,7,0,21,17
LAB11080R,7,1,1,1
LAB11080R,30,0,21,17
LAB11080R,30,1,1,1
LAB11080R,90,0,21,17
LAB11080R,90,1,1,1
LAB11081R,1,0,159,87
LAB11081R,1,1,2,0
LAB11081R,2,0,157,85
LAB11081R,2,1,4,2
LAB11081R,4,0,154,83
LAB11081R,4,1,7,4
LAB11081R,7,0,153,83
LAB11081R,7,1,8,4
LAB11081R,30,0,153,83
LAB11081R,30,1,8,4
LAB11081R,90,0,153,83
LAB11081R,90,1,8,4
LAB11084R,1,0,3,1
LAB11084R,2,0,3,1
LAB11084R,4,0,3,1
LAB11084R,7,0,3,1
LAB11084R,30,0,3,1
LAB11084R,90,0,3,1
LAB11085R,1,0,183,166
LAB11085R,1,1,5,5
LAB11085R,2,0,180,163
LAB11085R,2,1,8,8
LAB11085R,4,0,179,162
LAB11085R,4,1,7,7
LAB11085R,4,2,2,2
LAB11085R,7,0,179,162
LAB11085R,7,1,7,7
LAB11085R,7,2,2,2
LAB11085R,30,0,179,162
LAB11085R,30,1,7,7
LAB11085R,30,2,2,2
LAB11085R,90,0,178,161
LAB11085R,90,1,8,8
LAB11085R,90,2,2,2
LAB11086R,1,0,72,25
LAB11086R,2,0,71,25
LAB11086R,2,1,1,0
LAB11086R,4,0,66,23
LAB11086R,4,1,6,2
LAB11086R,7,0,65,22
LAB11086R,7,1,7,3
LAB11086R,30,0,61,20
LAB11086R,30,1,11,5
LAB11086R,90,0,61,20
LAB11086R,90,1,10,5
LAB11086R,90,2,1,0
LAB11088R,1,0,20,16
LAB11088R,2,0,20,16
LAB11088R,4,0,20,16
LAB11088R,7,0,20,16
LAB11088R,30,0,20,16
LAB11088R,90,0,20,16
LAB11089R,1,0,2,0
LAB11089R,2,0,2,0
LAB11089R,4,0,2,0
LAB11089R,7,0,2,0
LAB11089R,30,0,2,0
LAB11089R,90,0,2,0
LAB11090R,1,0,16,12
LAB11090R,2,0,16,12
LAB11090R,4,0,16,12
LAB11090R,7,0,16,12
LAB11090R,30,0,16,12
LAB11090R,90,0,16,12
LAB11091R,1,0,7,5
LAB11091R,2,0,6,4
LAB11091R,2,1,1,1
LAB11091R,4,0,5,3
LAB11091R,4,1,2,2
LAB11091R,7,0,5,3
LAB11091R,7,1,2,2
LAB11091R,30,0,5,3
LAB11091R,30,1,2,2
LAB11091R,90,0,5,3
LAB11091R,90,1,2,2
LAB11093R,1,0,92,90
LAB11093R,1,1,1,1
LAB11093R,2,0,92,90
LAB11093R,2,1,1,1
LAB11093R,4,0,92,90
LAB11093R,4,1,1,1
LAB11093R,7,0,92,90
LAB11093R,7,1,1,1
LAB11093R,30,0,92,90
LAB11093R,30,1,1,1
LAB11093R,90,0,92,90
LAB11093R,90,1,1,1
LAB11094R,1,0,123,105
LAB11094R,1,1,5,5
LAB11094R,2,0,122,104
LAB11094R,2,1,6,6
LAB11094R,4,0,121,103
LAB11094R,4,1,7,7
LAB11094R,7,0,121,103
LAB11094R,7,1,7,7
LAB11094R,30,0,120,102
LAB11094R,30,1,8,8
LAB11094R,90,0,120,102
LAB11094R,90,1,8,8
LAB11095R,1,0,117,115
LAB11095R,1,1,5,5
LAB11095R,2,0,116,114
LAB11095R,2,1,6,6
LAB11095R,4,0,115,113
LAB11095R,4,1,7,7
LAB11095R,7,0,114,112
LAB11095R,7,1,8,8
LAB11095R,30,0,111,109
LAB11095R,30,1,11,11
LAB11095R,90,0,111,109
LAB11095R,90,1,11,11
LAB11096R,1,0,92,74
LAB11096R,1,1,5,4
LAB11096R,2,0,87,69
LAB11096R,2,1,10,9
LAB11096R,4,0,85,67
LAB11096R,4,1,12,11
LAB11096R,7,0,82,64
LAB11096R,7,1,14,13
LAB11096R,7,2,1,1
LAB11096R,30,0,81,63
LAB11096R,30,1,14,13
LAB11096R,30,2,2,2
LAB11096R,90,0,79,61
LAB11096R,90,1,15,14
LAB11096R,90,2,2,2
LAB11096R,90,3,1,1
LAB11097R,1,0,96,67
LAB11097R,1,1,3,3
LAB11097R,1,2,1,1
LAB11097R,2,0,94,65
LAB11097R,2,1,4,4
LAB11097R,2,2,1,1
LAB11097R,2,3,1,1
LAB11097R,4,0,92,63
LAB11097R,4,1,5,5
LAB11097R,4,2,1,1
LAB11097R,4,3,2,2
LAB11097R,7,0,91,62
LAB11097R,7,1,6,6
LAB11097R,7,2,1,1
LAB11097R,7,3,1,1
LAB11097R,7,4,1,1
LAB11097R,30,0,91,62
LAB11097R,30,1,6,6
LAB11097R,30,2,1,1
LAB11097R,30,3,1,1
LAB11097R,30,4,1,1
LAB11097R,90,0,91,62
LAB11097R,90,1,6,6
LAB11097R,90,2,1,1
LAB11097R,90,3,1,1
LAB11097R,90,4,1,1
LAB11098R,1,0,272,144
LAB11098R,1,1,4,4
LAB11098R,2,0,269,143
LAB11098R,2,1,7,5
LAB11098R,4,0,264,138
LAB11098R,4,1,10,8
LAB11098R,4,2,2,2
LAB11098R,7,0,264,138
LAB11098R,7,1,9,7
LAB11098R,7,2,2,2
LAB11098R,7,3,1,1
LAB11098R,30,0,260,134
LAB11098R,30,1,12,10
LAB11098R,30,2,3,3
LAB11098R,30,3,1,1
LAB11098R,90,0,258,134
LAB11098R,90,1,14,10
LAB11098R,90,2,3,3
LAB11098R,90,3,1,1
LAB11100R,1,0,12,8
LAB11100R,2,0,12,8
LAB11100R,4,0,12,8
LAB11100R,7,0,12,8
LAB11100R,30,0,12,8
LAB11100R,90,0,12,8
LAB11101R,1,0,63,34
LAB11101R,2,0,63,34
LAB11101R,4,0,62,33
LAB11101R,4,1,1,1
LAB11101R,7,0,61,32
LAB11101R,7,1,2,2
LAB11101R,30,0,60,31
LAB11101R,30,1,3,3
LAB11101R,90,0,60,31
LAB11101R,90,1,3,3
LAB11102R,1,0,125,107
LAB11102R,1,1,2,2
LAB11102R,2,0,125,107
LAB11102R,2,1,2,2
LAB11102R,4,0,125,107
LAB11102R,4,1,2,2
LAB11102R,7,0,124,106
LAB11102R,7,1,3,3
LAB11102R,30,0,122,104
LAB11102R,30,1,4,4
LAB11102R,30,2,1,1
LAB11102R,90,0,120,102
LAB11102R,90,1,4,4
LAB11102R,90,2,3,3
LAB11106R,1,0,109,83
LAB11106R,1,1,1,1
LAB11106R,2,0,109,83
LAB11106R,2,1,1,1
LAB11106R,4,0,107,81
LAB11106R,4,1,3,3
LAB11106R,7,0,107,81
LAB11106R,7,1,3,3
LAB11106R,30,0,106,80
LAB11106R,30,1,4,4
LAB11106R,90,0,106,80
LAB11106R,90,1,4,4
LAB11107R,1,0,117,105
LAB11107R,1,1,4,4
LAB11107R,2,0,115,103
LAB11107R,2,1,6,6
LAB11107R,4,0,114,102
LAB11107R,4,1,7,7
LAB11107R,7,0,114,102
LAB11107R,7,1,7,7
LAB11107R,30,0,112,100
LAB11107R,30,1,9,9
LAB11107R,90,0,112,100
LAB11107R,90,1,9,9
LAB11153R,1,0,40,38
LAB11153R,1,1,1,1
LAB11153R,2,0,40,38
LAB11153R,2,1,1,1
LAB11153R,4,0,40,38
LAB11153R,4,1,1,1
LAB11153R,7,0,40,38
LAB11153R,7,1,1,1
LAB11153R,30,0,38,37
LAB11153R,30,1,3,2
LAB11153R,90,0,37,36
LAB11153R,90,1,3,3
LAB11153R,90,2,1,0
LAB11179R,1,0,15,11
LAB11179R,1,1,1,1
LAB11179R,2,0,15,11
LAB11179R,2,1,1,1
LAB11179R,4,0,15,11
