clinical_item_id,name,base_name
68145,VWDIR(Result),VWDIR
69285,VWFPIC(Result),VWFPIC
69286,VWFPIR(Result),VWFPIR
68146,VWINTP(Result),VWINTP
67139,VZAB(Abnormal),VZAB
68681,VZAB(Result),VZAB
72199,VZQLDN(Abnormal),VZQLDN
71872,VZQLDN(Result),VZQLDN
71954,VZQLIC(Result),VZQLIC
73049,VZQLIP(Result),VZQLIP
71873,VZQLSP(Result),VZQLSP
71871,VZQLTD(Result),VZQLTD
70249,VZR(Abnormal),VZR
69914,VZR(Result),VZR
71818,VZVDN(Abnormal),VZVDN
71802,VZVDN(Result),VZVDN
71241,VZVDNA(Abnormal),VZVDNA
66918,VZVDNA(Result),VZVDNA
72963,VZVDS(Result),VZVDS
73364,VZVMQL(Abnormal),VZVMQL
72965,VZVMQL(Result),VZVMQL
73775,VZVMQT(InRange),VZVMQT
72964,VZVMQT(Result),VZVMQT
68069,WAXCST(Abnormal),WAXCST
72851,WBC(Abnormal),WBC
66279,WBC(High),WBC
66981,WBC(HighPanic),WBC
66126,WBC(InRange),WBC
66259,WBC(Low),WBC
66630,WBC(LowPanic),WBC
66667,WBC(Result),WBC
67186,WBCAST(Abnormal),WBCAST
67363,WBCCSF(High),WBCCSF
67179,WBCCSF(HighPanic),WBCCSF
67208,WBCCSF(InRange),WBCCSF
67610,WBCCSF(Result),WBCCSF
72472,WBCFLD(High),WBCFLD
68737,WBCFLD(High),WBCFLD
66813,WBCFLD(InRange),WBCFLD
67861,WBCFLD(Result),WBCFLD
73590,WBCHP(High),WBCHP
70944,WEACA(Abnormal),WEACA
69500,WEACA(Result),WEACA
72824,WEIGG(Result),WEIGG
72823,WEIGM(Result),WEIGM
70299,WEST(Result),WEST
70813,WHT(High),WHT
68725,WNIL1(Result),WNIL1
67601,WNITP(Result),WNITP
71560,WNRNA(Abnormal),WNRNA
67467,WNRNA(Result),WNRNA
69038,WNVIGG(High),WNVIGG
69857,WNVIGG(Result),WNVIGG
67296,WNVIGG(Result),WNVIGG
67832,WNVIGM(High),WNVIGM
69856,WNVIGM(Result),WNVIGM
67295,WNVIGM(Result),WNVIGM
70868,WOEACA(Abnormal),WOEACA
69501,WOEACA(Result),WOEACA
69696,WT(High),WT
66533,WT(InRange),WT
69745,WT(Result),WT
72948,XAMHOR(Result),XAMHOR
71522,XGADR(Result),XGADR
70495,XHIAB(Result),XHIAB
69446,XICA5R(Result),XICA5R
73165,XIG1(Result),XIG1
71056,Y2729A(High),Y2729A
70630,Y2729A(InRange),Y2729A
68334,YA1A(High),YA1A
67732,YA1A(InRange),YA1A
67956,YA1A(Low),YA1A
69888,YA1A(Result),YA1A
73774,YA1A2(High),YA1A2
73751,YA1A2(Low),YA1A2
70983,YACIG1(InRange),YACIG1
68682,YACIG1(Result),YACIG1
69722,YAHA1(High),YAHA1
70589,YAHA1(InRange),YAHA1
67662,YAHA1(Result),YAHA1
68867,YAMA(High),YAMA
68364,YAMA(InRange),YAMA
67505,YAMA(Result),YAMA
68548,YAMEB1(Result),YAMEB1
67472,YAMIOD(InRange),YAMIOD
70359,YAMIOD(Low),YAMIOD
70731,YAMIOD(Result),YAMIOD
69504,YANT2(Result),YANT2
71477,YANTQ(Result),YANTQ
68489,YAPO1(Result),YAPO1
68480,YAPO10(Result),YAPO10
68484,YAPO11(Result),YAPO11
68483,YAPO12(Result),YAPO12
68488,YAPO2(Result),YAPO2
68487,YAPO4(Result),YAPO4
68486,YAPO5(Result),YAPO5
68485,YAPO6(Result),YAPO6
68482,YAPO7(Result),YAPO7
68481,YAPO9(Result),YAPO9
69214,YARBIN(High),YARBIN
67561,YARBIN(InRange),YARBIN
70588,YARBIN(Result),YARBIN
70705,YARMA(High),YARMA
68638,YARMA(InRange),YARMA
73665,YARMA(Result),YARMA
71278,YASU1(High),YASU1
70725,YASU1(InRange),YASU1
69300,YASU1(Result),YASU1
68649,YBAB1(Result),YBAB1
68648,YBAB2(Result),YBAB2
68647,YBAB3(Result),YBAB3
71475,YBIS(Result),YBIS
70115,YBLAS1(Result),YBLAS1
68906,YBLAS2(Result),YBLAS2
68905,YBLAS3(Result),YBLAS3
67340,YBRUC1(Result),YBRUC1
67339,YBRUC2(Result),YBRUC2
67338,YBRUC3(Result),YBRUC3
72230,YBUPR1(Low),YBUPR1
69548,YC1INH(High),YC1INH
67704,YC1INH(InRange),YC1INH
68495,YC1INH(Low),YC1INH
67168,YC1QB(Result),YC1QB
72908,YC2RE1(High),YC2RE1
70912,YC2RE1(InRange),YC2RE1
72739,YC2RE1(Low),YC2RE1
68222,YC4FUN(High),YC4FUN
68320,YC4FUN(InRange),YC4FUN
70866,YC5RE1(High),YC5RE1
70695,YC5RE1(InRange),YC5RE1
69807,YCALCI(High),YCALCI
68557,YCALCI(InRange),YCALCI
68598,YCALCI(Result),YCALCI
68114,YCENTA(High),YCENTA
67100,YCENTA(Result),YCENTA
67878,YCH50S(InRange),YCH50S
68962,YCH50S(Low),YCH50S
70181,YCH50S(Result),YCH50S
68416,YCHAG1(Result),YCHAG1
