base_name,window,consecutive,total,normal
12253R,2,0,1,0
12253R,2,NULL,10,3
12253R,4,0,1,0
12253R,4,NULL,10,3
12253R,7,0,2,0
12253R,7,NULL,9,3
12253R,30,0,3,1
12253R,30,NULL,8,2
12253R,90,0,3,1
12253R,90,NULL,8,2
12256R,1,NULL,11,2
12256R,2,0,1,1
12256R,2,NULL,10,1
12256R,4,0,1,1
12256R,4,NULL,10,1
12256R,7,0,2,1
12256R,7,NULL,9,1
12256R,30,0,3,1
12256R,30,NULL,8,1
12256R,90,0,3,1
12256R,90,NULL,8,1
12257R,1,NULL,11,2
12257R,2,0,1,1
12257R,2,NULL,10,1
12257R,4,0,1,1
12257R,4,NULL,10,1
12257R,7,0,2,1
12257R,7,NULL,9,1
12257R,30,0,3,1
12257R,30,NULL,8,1
12257R,90,0,3,1
12257R,90,NULL,8,1
12258R,1,NULL,11,4
12258R,2,0,1,0
12258R,2,NULL,10,4
12258R,4,0,1,0
12258R,4,NULL,10,4
12258R,7,0,2,0
12258R,7,NULL,9,4
12258R,30,0,3,1
12258R,30,NULL,8,3
12258R,90,0,3,1
12258R,90,NULL,8,3
12259R,1,NULL,11,4
12259R,2,0,1,1
12259R,2,NULL,10,3
12259R,4,0,1,1
12259R,4,NULL,10,3
12259R,7,0,2,1
12259R,7,NULL,9,3
12259R,30,0,3,1
12259R,30,NULL,8,3
12259R,90,0,3,1
12259R,90,NULL,8,3
12260R,1,NULL,11,3
12260R,2,0,1,0
12260R,2,NULL,10,3
12260R,4,0,1,0
12260R,4,NULL,10,3
12260R,7,0,2,0
12260R,7,NULL,9,3
12260R,30,0,3,1
12260R,30,NULL,8,2
12260R,90,0,3,1
12260R,90,NULL,8,2
12261R,1,NULL,11,5
12261R,2,0,1,1
12261R,2,NULL,10,4
12261R,4,0,1,1
12261R,4,NULL,10,4
12261R,7,0,2,1
12261R,7,NULL,9,4
12261R,30,0,3,2
12261R,30,NULL,8,3
12261R,90,0,3,2
12261R,90,NULL,8,3
12262R,1,NULL,11,5
12262R,2,0,1,1
12262R,2,NULL,10,4
12262R,4,0,1,1
12262R,4,NULL,10,4
12262R,7,0,2,1
12262R,7,NULL,9,4
12262R,30,0,3,2
12262R,30,NULL,8,3
12262R,90,0,3,2
12262R,90,NULL,8,3
12263R,1,NULL,11,2
12263R,2,0,1,1
12263R,2,NULL,10,1
12263R,4,0,1,1
12263R,4,NULL,10,1
12263R,7,0,2,1
12263R,7,NULL,9,1
