base_name,window,consecutive,total,normal
AGALA,7,1,59,52
AGALA,7,2,3,2
AGALA,30,1,75,65
AGALA,30,2,8,7
AGALA,30,3,5,5
AGALA,30,4,9,9
AGALA,90,1,95,85
AGALA,90,2,14,12
AGALA,90,3,6,6
AGALA,90,4,2,2
AGALA,90,5,7,7
ALB,1,1,15620,7266
ALB,1,2,1226,798
ALB,1,3,199,149
ALB,1,4,58,50
ALB,1,5,28,25
ALB,2,1,18730,8174
ALB,2,2,4936,3036
ALB,2,3,716,487
ALB,2,4,295,245
ALB,2,5,163,147
ALB,4,1,17826,6932
ALB,4,2,4361,2453
ALB,4,3,2601,1879
ALB,4,4,1436,1127
ALB,4,5,657,547
ALB,7,1,17965,6931
ALB,7,2,4643,2569
ALB,7,3,1978,1311
ALB,7,4,993,761
ALB,7,5,2136,1769
ALB,30,1,18823,7363
ALB,30,2,5044,2739
ALB,30,3,2131,1400
ALB,30,4,1139,836
ALB,30,5,2522,2053
ALB,90,1,19200,7664
ALB,90,2,5471,2975
ALB,90,3,2360,1526
ALB,90,4,1282,922
ALB,90,5,2791,2240
ALDOLASE,1,1,3,2
ALDOLASE,2,1,5,4
ALDOLASE,2,2,1,1
ALDOLASE,4,1,4,3
ALDOLASE,4,2,2,2
ALDOLASE,7,1,4,3
ALDOLASE,7,2,2,2
ALDOLASE,30,1,5,4
ALDOLASE,30,2,2,2
ALDOLASE,90,1,7,4
ALDOLASE,90,2,2,2
ALDOSTR,2,1,3,0
ALDOSTR,4,1,3,0
ALDOSTR,7,1,4,0
ALDOSTR,30,1,4,0
ALDOSTR,90,1,4,0
ALKP,1,1,68014,64008
ALKP,1,2,9321,8946
ALKP,1,3,2614,2523
ALKP,1,4,1103,1065
ALKP,1,5,452,431
ALKP,2,1,67976,63029
ALKP,2,2,46370,43986
ALKP,2,3,8458,8064
ALKP,2,4,4338,4172
ALKP,2,5,3865,3718
ALKP,4,1,38434,35145
ALKP,4,2,23735,22332
ALKP,4,3,35076,33096
ALKP,4,4,26937,25559
ALKP,4,5,15184,14417
ALKP,7,1,34492,31348
ALKP,7,2,24217,22692
ALKP,7,3,18369,17310
ALKP,7,4,12709,11926
ALKP,7,5,52304,49550
ALKP,30,1,33415,29974
ALKP,30,2,22295,20692
ALKP,30,3,16641,15569
ALKP,30,4,12977,12077
ALKP,30,5,63133,59517
ALKP,90,1,32634,28999
ALKP,90,2,22045,20309
ALKP,90,3,16504,15349
ALKP,90,4,12869,11938
ALKP,90,5,68598,64565
ALKPO4BONE,1,1,2,2
ALKPO4BONE,2,1,2,2
ALKPO4BONE,4,1,2,2
ALKPO4BONE,7,1,2,2
ALKPO4BONE,30,1,2,2
ALKPO4BONE,90,1,3,2
ALT,1,1,80256,76046
ALT,1,2,9038,8651
ALT,1,3,1933,1873
ALT,1,4,684,659
ALT,1,5,232,223
ALT,2,1,81085,76284
ALT,2,2,56256,53617
ALT,2,3,8561,8179
ALT,2,4,4097,3962
ALT,2,5,2695,2610
ALT,4,1,43300,39874
ALT,4,2,27390,25834
ALT,4,3,43676,41698
ALT,4,4,33727,32227
ALT,4,5,14606,14055
ALT,7,1,38906,35621
ALT,7,2,27451,25742
ALT,7,3,20895,19790
ALT,7,4,14823,14077
ALT,7,5,64153,61461
ALT,30,1,36933,33468
ALT,30,2,25065,23309
ALT,30,3,18746,17645
ALT,30,4,14793,13949
ALT,30,5,78658,75062
ALT,90,1,35421,31871
ALT,90,2,24356,22530
ALT,90,3,18392,17235
ALT,90,4,14616,13723
ALT,90,5,86734,82547
AMIKACINTR,1,1,11,7
AMIKACINTR,1,2,1,1
AMIKACINTR,2,1,18,9
AMIKACINTR,2,2,3,3
AMIKACINTR,2,3,1,1
AMIKACINTR,4,1,22,13
AMIKACINTR,4,2,7,6
AMIKACINTR,4,3,2,2
AMIKACINTR,7,1,24,15
AMIKACINTR,7,2,9,8
AMIKACINTR,7,3,4,4
AMIKACINTR,7,4,2,2
AMIKACINTR,30,1,20,10
AMIKACINTR,30,2,7,6
AMIKACINTR,30,3,5,5
AMIKACINTR,30,4,4,3
AMIKACINTR,30,5,7,6
AMIKACINTR,90,1,20,10
AMIKACINTR,90,2,7,6
AMIKACINTR,90,3,5,5
AMIKACINTR,90,4,4,3
AMIKACINTR,90,5,7,6
AMUCRU,4,1,1,0
AMUCRU,7,1,1,0
AMUCRU,30,1,1,0
AMUCRU,90,1,1,0
AMYLASE,1,1,888,840
AMYLASE,1,2,43,41
AMYLASE,1,3,5,5
AMYLASE,1,4,6,6
AMYLASE,1,5,2,2
AMYLASE,2,1,996,940
AMYLASE,2,2,509,490
AMYLASE,2,3,39,38
AMYLASE,2,4,15,15
AMYLASE,2,5,9,9
AMYLASE,4,1,685,626
AMYLASE,4,2,296,284
AMYLASE,4,3,408,400
AMYLASE,4,4,256,250
AMYLASE,4,5,57,54
AMYLASE,7,1,722,660
AMYLASE,7,2,304,290
AMYLASE,7,3,194,188
AMYLASE,7,4,129,125
AMYLASE,7,5,444,435
AMYLASE,30,1,779,710
AMYLASE,30,2,337,318
AMYLASE,30,3,211,203
AMYLASE,30,4,142,137
AMYLASE,30,5,505,493
AMYLASE,90,1,823,744
AMYLASE,90,2,358,337
AMYLASE,90,3,219,209
AMYLASE,90,4,149,144
AMYLASE,90,5,521,509
ANTIXA,1,1,4,2
ANTIXA,2,1,6,2
ANTIXA,2,2,1,1
ANTIXA,4,1,7,2
ANTIXA,4,2,2,2
ANTIXA,7,1,8,2
ANTIXA,7,2,1,1
ANTIXA,7,3,1,1
ANTIXA,30,1,8,2
ANTIXA,30,2,1,1
ANTIXA,30,3,1,1
ANTIXA,30,4,1,1
ANTIXA,90,1,8,2
ANTIXA,90,2,1,1
ANTIXA,90,3,1,1
ANTIXA,90,4,1,1
AST,1,1,64994,57967
AST,1,2,5883,5338
AST,1,3,1026,955
AST,1,4,336,315
AST,1,5,144,136
AST,2,1,71381,62491
AST,2,2,42717,38763
AST,2,3,5350,4873
AST,2,4,2410,2244
AST,2,5,1331,1260
AST,4,1,43166,36263
AST,4,2,24644,21762
AST,4,3,33533,30599
AST,4,4,23236,21405
AST,4,5,7771,7187
AST,7,1,39717,33077
AST,7,2,25357,22221
AST,7,3,17905,15992
AST,7,4,11917,10839
AST,7,5,40594,37512
AST,30,1,38643,31893
AST,30,2,24086,20891
AST,30,3,16918,14934
AST,30,4,12551,11269
AST,30,5,50516,46349
AST,90,1,37777,30934
AST,90,2,23927,20637
AST,90,3,17020,14966
AST,90,4,12689,11296
