y,y_hat_rf,y_hat_mlp
0,0.5656022408963585,0.45429602
1,0.582542580250491,0.4285921
1,0.6199346405228758,0.25479132
1,0.6850140056022409,0.46718007
0,0.45631253006253003,0.47725275
0,0.5538690476190476,0.4230823
1,0.9666666666666668,0.5373944
1,0.5869845160286337,0.4345014
1,0.4251683501683502,0.4623872
1,0.7138655462184874,0.47580945
0,0.6540616246498601,0.41780147
1,0.610146280734516,0.6329872
1,0.5841827918907027,0.42104298
1,0.5231404355542286,0.37992337
0,0.5880981358060466,0.48293644
0,0.5495924557562488,0.36426684
0,0.5293904355542287,0.4655504
0,0.5553539243980421,0.46829382
1,0.2344444444444444,0.4794711
1,0.5841827918907027,0.5396015
1,0.9537037037037036,0.42147174
1,0.5433424557562488,0.5413379
0,0.8426392779333955,0.4701589
1,0.6794117647058824,0.472767
1,0.6886710239651416,0.41615036
1,0.5495924557562488,0.54350764
0,0.5495924557562488,0.53686583
1,0.6485060690943044,0.4741271
1,0.6886710239651416,0.4243216
1,0.5727542204621312,0.47021204
1,0.6199346405228758,0.46630636
1,0.6254901960784314,0.42301205
0,0.610146280734516,0.43239367
1,0.5293904355542287,0.55702484
1,0.6485060690943044,0.446535
1,0.5538690476190476,0.4444997
0,0.5656022408963585,0.6640905
1,0.5656022408963585,0.48894623
1,0.5841827918907027,0.29730377
0,0.5939711516790624,0.42502955
0,0.5755559446000622,0.38663074
1,0.8349595393713042,0.5898198
1,0.8881107998755058,0.4992223
0,0.5755559446000622,0.4235165
0,0.5770308123249299,0.43249282
1,0.9190631808278867,0.427731
1,0.9925925925925926,0.53551835
1,0.8341892312480548,0.51414144
1,0.661998132586368,0.46746838
1,0.5424404761904762,0.5221134
1,0.9092592592592593,0.5114675
1,0.9764705882352942,0.4866926
1,0.6199346405228758,0.50830626
0,0.5454002206943384,0.4964342
0,0.5841827918907027,0.41834703
1,0.9925925925925926,0.5616404
0,0.5293904355542287,0.4781849
1,0.9925925925925926,0.5001706
0,0.6254901960784314,0.46793303
1,0.610146280734516,0.42965975
0,0.39006253006253006,0.43889272
1,0.6199346405228758,0.4739123
1,0.8309679427326486,0.45839593
0,0.6199346405228758,0.46298355
1,0.833348895113601,0.54103816
1,1.0,0.6017254
1,0.5454002206943384,0.42123157
0,0.610146280734516,0.47026685
1,0.5770308123249299,0.42370605
1,0.5293904355542287,0.419816
1,0.9132275132275133,0.5983172
1,0.8187830687830688,0.5233375
0,0.5208098845598845,0.263136
1,0.5869845160286337,0.5360678
1,0.9925925925925926,0.44854403
1,0.5841827918907027,0.41467914
0,0.8460706504824153,0.47087517
1,0.5495924557562488,0.530723
0,0.5610210271848203,0.54333997
1,0.5770308123249299,0.42182574
