provider_id,start_date,end_date,rotation_id,role
S0060285,2014-05-10 00:00:00,2014-05-24,5,R1
S0060285,2014-07-01 00:00:00,2014-07-12,5,R2
S0060285,2014-08-23 00:00:00,2014-09-20,2,R2
S0060285,2014-10-18 00:00:00,2014-11-01,5,R2
S0060285,2014-12-09 00:00:00,2014-12-28,27,R2
S0060285,2015-01-10 00:00:00,2015-02-07,2,R2
S0060285,2015-05-30 00:00:00,2015-06-13,5,R2
S0060285,2015-07-25 00:00:00,2015-08-22,2,R3
S0060285,2015-11-14 00:00:00,2015-12-08,22,R3
S0060285,2016-01-23 00:00:00,2016-02-06,5,R3
S0060285,2016-02-06 00:00:00,2016-03-05,27,R3
S0062217,2012-06-25 00:00:00,2012-07-07,5,R1
S0062217,2012-07-21 00:00:00,2012-08-18,2,R1
S0062217,2013-01-05 00:00:00,2013-02-02,22,R1
S0062217,2013-03-30 00:00:00,2013-04-27,2,R1
S0062217,2013-04-27 00:00:00,2013-05-25,2,R1
S0062217,2013-07-27 00:00:00,2013-08-24,27,R2
S0062217,2013-08-24 00:00:00,2013-09-21,2,R2
S0062217,2014-04-19 00:00:00,2014-05-03,5,R2
S0062217,2014-05-03 00:00:00,2014-05-17,5,R2
S0062217,2014-07-01 00:00:00,2014-07-12,5,R3
S0062217,2014-07-26 00:00:00,2014-08-23,22,R3
S0062217,2014-11-01 00:00:00,2014-11-15,5,R3
S0062217,2014-11-15 00:00:00,2014-12-09,2,R3
S0062217,2014-12-28 00:00:00,2015-01-10,27,R3
S0062217,2015-03-07 00:00:00,2015-04-04,2,R3
S0063830,2012-08-25 00:00:00,2012-09-08,5,R3
S0068710,2012-07-14 00:00:00,2012-07-28,5,R2
S0068710,2012-08-25 00:00:00,2012-09-22,27,R2
S0068710,2013-01-12 00:00:00,2013-01-26,5,R2
S0068710,2013-05-04 00:00:00,2013-05-18,5,R2
S0068710,2013-07-13 00:00:00,2013-07-27,5,R3
S0068710,2013-09-21 00:00:00,2013-10-19,2,R3
S0068710,2013-10-19 00:00:00,2013-11-16,27,R3
S0068710,2014-02-22 00:00:00,2014-03-08,5,R3
S0069088,2012-07-14 00:00:00,2012-07-28,5,R2
