base_name,window,consecutive,total,normal
12302R,30,1.0,1,1
12302R,30,NULL,20,7
12302R,90,0.0,14,4
12302R,90,1.0,1,1
12302R,90,NULL,20,7
12303R,1,0.0,18,5
12303R,1,NULL,20,5
12303R,2,0.0,17,5
12303R,2,NULL,20,5
12303R,4,0.0,15,3
12303R,4,1.0,1,1
12303R,4,NULL,20,5
12303R,7,0.0,14,2
12303R,7,1.0,1,1
12303R,7,NULL,20,5
12303R,30,0.0,14,2
12303R,30,1.0,1,1
12303R,30,NULL,20,5
12303R,90,0.0,14,2
12303R,90,1.0,1,1
12303R,90,NULL,20,5
12304R,1,0.0,18,7
12304R,1,NULL,20,7
12304R,2,0.0,17,7
12304R,2,NULL,20,7
12304R,4,0.0,15,5
12304R,4,1.0,1,1
12304R,4,NULL,20,7
12304R,7,0.0,14,4
12304R,7,1.0,1,1
12304R,7,NULL,20,7
12304R,30,0.0,14,4
12304R,30,1.0,1,1
12304R,30,NULL,20,7
12304R,90,0.0,14,4
12304R,90,1.0,1,1
12304R,90,NULL,20,7
12306R,1,0.0,18,7
12306R,1,NULL,20,7
12306R,2,0.0,17,7
12306R,2,NULL,20,7
12306R,4,0.0,15,5
12306R,4,1.0,1,1
12306R,4,NULL,20,7
12306R,7,0.0,14,4
12306R,7,1.0,1,1
12306R,7,NULL,20,7
12306R,30,0.0,14,4
12306R,30,1.0,1,1
12306R,30,NULL,20,7
12306R,90,0.0,14,4
12306R,90,1.0,1,1
12306R,90,NULL,20,7
12307R,1,0.0,18,7
12307R,1,NULL,20,7
12307R,2,0.0,17,7
12307R,2,NULL,20,7
12307R,4,0.0,15,5
12307R,4,1.0,1,1
12307R,4,NULL,20,7
12307R,7,0.0,14,4
12307R,7,1.0,1,1
12307R,7,NULL,20,7
12307R,30,0.0,14,4
12307R,30,1.0,1,1
12307R,30,NULL,20,7
12307R,90,0.0,14,4
12307R,90,1.0,1,1
12307R,90,NULL,20,7
12308R,1,0.0,18,7
12308R,1,NULL,20,7
12308R,2,0.0,17,7
12308R,2,NULL,20,7
12308R,4,0.0,15,5
12308R,4,1.0,1,1
12308R,4,NULL,20,7
12308R,7,0.0,14,4
12308R,7,1.0,1,1
12308R,7,NULL,20,7
12308R,30,0.0,14,4
12308R,30,1.0,1,1
12308R,30,NULL,20,7
12308R,90,0.0,14,4
12308R,90,1.0,1,1
12308R,90,NULL,20,7
12309R,1,0.0,18,7
12309R,1,NULL,20,7
12309R,2,0.0,17,7
12309R,2,NULL,20,7
12309R,4,0.0,15,5
12309R,4,1.0,1,1
12309R,4,NULL,20,7
12309R,7,0.0,14,4
12309R,7,1.0,1,1
12309R,7,NULL,20,7
12309R,30,0.0,14,4
12309R,30,1.0,1,1
12309R,30,NULL,20,7
12309R,90,0.0,14,4
12309R,90,1.0,1,1
12309R,90,NULL,20,7
12310R,1,0.0,18,4
12310R,1,NULL,20,4
12310R,2,0.0,17,4
12310R,2,NULL,20,4
12310R,4,0.0,15,2
12310R,4,1.0,1,1
12310R,4,NULL,20,4
12310R,7,0.0,14,1
12310R,7,1.0,1,1
12310R,7,NULL,20,4
12310R,30,0.0,14,1
12310R,30,1.0,1,1
12310R,30,NULL,20,4
12310R,90,0.0,14,1
12310R,90,1.0,1,1
12310R,90,NULL,20,4
12311R,1,0.0,18,6
12311R,1,NULL,20,6
12311R,2,0.0,17,6
12311R,2,NULL,20,6
12311R,4,0.0,15,4
12311R,4,1.0,1,1
12311R,4,NULL,20,6
12311R,7,0.0,14,3
12311R,7,1.0,1,1
12311R,7,NULL,20,6
12311R,30,0.0,14,3
12311R,30,1.0,1,1
12311R,30,NULL,20,6
12311R,90,0.0,14,3
12311R,90,1.0,1,1
12311R,90,NULL,20,6
12312R,1,0.0,18,5
12312R,1,NULL,20,5
12312R,2,0.0,17,5
12312R,2,NULL,20,5
12312R,4,0.0,15,3
12312R,4,1.0,1,1
12312R,4,NULL,20,5
12312R,7,0.0,14,2
12312R,7,1.0,1,1
12312R,7,NULL,20,5
12312R,30,0.0,14,2
12312R,30,1.0,1,1
12312R,30,NULL,20,5
12312R,90,0.0,14,2
12312R,90,1.0,1,1
12312R,90,NULL,20,5
12313R,1,0.0,18,6
12313R,1,NULL,20,6
12313R,2,0.0,17,6
12313R,2,NULL,20,6
12313R,4,0.0,15,4
12313R,4,1.0,1,1
12313R,4,NULL,20,6
12313R,7,0.0,14,3
12313R,7,1.0,1,1
12313R,7,NULL,20,6
12313R,30,0.0,14,3
12313R,30,1.0,1,1
12313R,30,NULL,20,6
12313R,90,0.0,14,3
12313R,90,1.0,1,1
12313R,90,NULL,20,6
12314R,1,0.0,18,6
12314R,1,NULL,20,6
12314R,2,0.0,17,6
12314R,2,NULL,20,6
12314R,4,0.0,15,4
12314R,4,1.0,1,1
12314R,4,NULL,20,6
12314R,7,0.0,14,4
12314R,7,1.0,1,1
12314R,7,NULL,20,6
12314R,30,0.0,14,4
12314R,30,1.0,1,1
12314R,30,NULL,20,6
12314R,90,0.0,14,4
12314R,90,1.0,1,1
12314R,90,NULL,20,6
12316R,1,0.0,18,3
12316R,1,NULL,20,3
12316R,2,0.0,17,3
12316R,2,NULL,20,3
12316R,4,0.0,15,1
12316R,4,1.0,1,1
12316R,4,NULL,20,3
12316R,7,0.0,14,1
12316R,7,1.0,1,1
12316R,7,NULL,20,3
12316R,30,0.0,14,1
12316R,30,1.0,1,1
12316R,30,NULL,20,3
12316R,90,0.0,14,1
12316R,90,1.0,1,1
12316R,90,NULL,20,3
12317R,1,0.0,18,5
12317R,1,NULL,20,5
12317R,2,0.0,17,5
12317R,2,NULL,20,5
12317R,4,0.0,15,3
12317R,4,1.0,1,1
12317R,4,NULL,20,5
